"Story","Title","Result","Date","Stability","Duration (s)"
"Look for an apartment","Custom search","FAILURE","2019-04-12T08:43:25.898-05:00[America/Bogota]","0.0","66.0"
"Select a result","Select a result","FAILURE","2019-04-12T08:44:31.903-05:00[America/Bogota]","0.0","62.42"
